paper_id,paper_title,norag_claims_extracted,norag_claims_validated,norag_claims_corrected,rag_claims_extracted,rag_claims_validated,rag_claims_corrected,llm_norag_hallucination_rate,llm_norag_grounding_score,llm_norag_claim_density,llm_norag_avg_confidence,llm_norag_supported,llm_norag_partially_supported,llm_norag_not_supported,llm_norag_contradicted,llm_rag_hallucination_rate,llm_rag_grounding_score,llm_rag_claim_density,llm_rag_avg_confidence,llm_rag_supported,llm_rag_partially_supported,llm_rag_not_supported,llm_rag_contradicted,llm_hallucination_delta,llm_grounding_delta,llm_claim_density_delta,llm_confidence_delta,nli_norag_hallucination_rate,nli_norag_grounding_score,nli_norag_claim_density,nli_norag_avg_confidence,nli_norag_supported,nli_norag_partially_supported,nli_norag_not_supported,nli_norag_contradicted,nli_rag_hallucination_rate,nli_rag_grounding_score,nli_rag_claim_density,nli_rag_avg_confidence,nli_rag_supported,nli_rag_partially_supported,nli_rag_not_supported,nli_rag_contradicted,nli_hallucination_delta,nli_grounding_delta,nli_claim_density_delta,nli_confidence_delta
0247111e65e27bd8a346eaff309d572a015f7ad91f55f2448793626c7dc692e7633320756cbd57a2e9513f010c3bdb0e9e84fe9188616f94dfc2d1908541f8d1,Self-Constructed Context Decompilation with Fined-grained Alignment Enhancement,58,58,8,28,28,0,0.103,0.793,0.0507,0.915,40,12,5,1,0.036,0.911,0.0226,0.932,24,3,1,0,-0.067,0.118,-0.0281,0.017,0.241,0.759,0.0507,0.925,44,0,4,10,0.071,0.893,0.0226,0.907,24,2,2,0,-0.17,0.134,-0.0281,-0.018
025752b99ade34b321ed19e22b26603a4344a733d3b42165a082da3918ed7d6bc2bd7afd12dc2a590cb7ea57ac6711b4e09c2fa4d35c95558acd5591307e08bf,LaCo: Large Language Model Pruning via Layer Collapse,53,53,0,49,49,11,0.113,0.764,0.0411,0.91,34,13,6,0,0,0.939,0.036,0.938,43,6,0,0,-0.113,0.175,-0.0051,0.028,0.849,0.113,0.0411,0.942,4,4,15,30,0.653,0.255,0.036,0.863,8,9,9,23,-0.196,0.142,-0.0051,-0.079
02e43d577e445701b6371b566e3fea51956c55245b7633b4d46caaab004cd55664171ab991cb2194b079bc55caffad1218cb71993a660f6b1e670b9028cdb6e3,Style-Specific Neurons for Steering LLMs in Text Style Transfer,40,40,2,35,35,0,0.15,0.8,0.034,0.92,30,4,5,1,0.029,0.929,0.0296,0.935,31,3,1,0,-0.121,0.129,-0.0044,0.015,0.45,0.538,0.034,0.903,21,1,4,14,0.371,0.6,0.0296,0.911,20,2,3,10,-0.079,0.062,-0.0044,0.008
02f0d56e5658c4c61be8871138faf45ef77ed19807b221b7ff4748ead581a8a0749741f8327bf2b8022000642540849610d26fd597e64190aa5c1f6fa12cac06,"DECOR: Improving Coherence in L2 English Writing with a Novel Benchmark for Incoherence Detection, Reasoning, and Rewriting",55,55,0,60,60,2,0.018,0.873,0.0431,0.924,42,12,0,1,0.05,0.892,0.0394,0.94,50,7,2,1,0.032,0.019,-0.0037,0.016,0.236,0.736,0.0431,0.888,39,3,5,8,0.3,0.642,0.0394,0.879,35,7,1,17,0.064,-0.094,-0.0037,-0.009
03053b93730613bed72eec85b4b2c9e811a4e934d98b80aad223f6b578f1f504ea2e5eaac88be02d7faed3466fd6c52dc23c7e362239b6a0d32ece99e8376aaf,Tutor-ICL: Guiding Large Language Models for Improved In-Context Learning Performance,33,33,0,31,31,3,0.03,0.939,0.0319,0.937,30,2,0,1,0.032,0.887,0.0322,0.906,25,5,0,1,0.002,-0.052,0.0003,-0.031,0.273,0.697,0.0319,0.888,22,2,6,3,0.194,0.677,0.0322,0.851,17,8,0,6,-0.079,-0.02,0.0003,-0.037
0327a720a8e443a8f1aa9572b3cade3875995b27172c18e3765bf5b29af88d7bf856d4be10610f9dcdb4dd1a72ea342540f15901bfc912ea40a66586faf8dd7d,Robust Text Classification: Analyzing Prototype-Based Networks,62,62,0,37,37,0,0.032,0.895,0.0553,0.935,51,9,1,1,0,0.919,0.0308,0.921,31,6,0,0,-0.032,0.024,-0.0245,-0.014,0.403,0.581,0.0553,0.95,35,2,9,16,0.27,0.73,0.0308,0.947,27,0,3,7,-0.133,0.149,-0.0245,-0.003
0339ab7f35de7d112dace2c8d762e16c160061cde2ac0fcf7fc4621818730019a6b8a7432dc5c6c556f4e7fdd11fa3fb79a20aa96435f34fe036f5aded6f6f45,ChatGPT Doesn’t Trust LA Chargers Fans: Guardrail Sensitivity in Context,38,38,0,44,44,0,0.053,0.882,0.0292,0.931,31,5,0,2,0.023,0.886,0.0342,0.917,35,8,0,1,-0.03,0.004,0.005,-0.014,0.342,0.605,0.0292,0.803,21,4,10,3,0.273,0.591,0.0342,0.824,20,12,10,2,-0.069,-0.014,0.005,0.021
035bb8a0dec7f9518b1dcc299a5de5315b3cd851621cdc9ccc3694467aaee8dbd88f70b51d55ad90e67f0995cd144a9fd5d4e9084b2526d4c2fb46ec004b8c87,On Leakage of Code Generation Evaluation Datasets,23,23,2,29,29,2,0.043,0.913,0.0195,0.934,20,2,0,1,0.034,0.914,0.026,0.932,25,3,1,0,-0.009,0.001,0.0065,-0.002,0.826,0.152,0.0195,0.915,3,1,15,4,0.828,0.155,0.026,0.868,4,1,19,5,0.002,0.003,0.0065,-0.047
0368e83460b8cd250e9895e16ab42464ee42e3d7be0696ae87c8d2b26938e487f8f600cbec6f23855122b84abfd989bda47d208c5d381a137bafd760a184fb03,Methods of Automatic Matrix Language Determination for Code-Switched Speech,41,41,0,41,41,4,0.024,0.902,0.0348,0.917,34,6,1,0,0.073,0.793,0.0332,0.903,27,11,1,2,0.049,-0.109,-0.0016,-0.014,0.195,0.512,0.0348,0.793,9,24,0,8,0.244,0.524,0.0332,0.722,12,19,3,7,0.049,0.012,-0.0016,-0.071
0391465928f859521bfa8d82edd535fe73a4466ff1d7f28cfcae62c8cd4d3bb8f20a7b74bb60ecd5050c78a39314aec2885a669e46dfedd428ed698e4da7bbca,Enhancing Agent Learning through World Dynamics Modeling,29,29,0,37,37,6,0.103,0.81,0.0259,0.901,21,5,1,2,0.135,0.77,0.0252,0.897,25,7,0,5,0.032,-0.04,-0.0007,-0.004,0.103,0.879,0.0259,0.84,25,1,3,0,0.108,0.892,0.0252,0.836,33,0,2,2,0.005,0.013,-0.0007,-0.004
03b52d41962140e49d944f2ff65939103527725f750341f8973fc68456b8f9889fa6cdd50b47db1629510797f406b2868140635203daaa2c94ddb2daf40c7a8e,Threshold-driven Pruning with Segmented Maximum Term Weights for Approximate Cluster-based Sparse Retrieval,55,55,4,32,32,5,0.055,0.873,0.0455,0.93,44,8,2,1,0.031,0.922,0.0248,0.934,28,3,1,0,-0.024,0.049,-0.0207,0.004,0.309,0.627,0.0455,0.869,31,7,2,15,0.406,0.531,0.0248,0.907,15,4,2,11,0.097,-0.096,-0.0207,0.038
03d14de7e7c11977797ee296bf239b36738244392fadddd65620283a01e394e23c2ef15c85b4feb92ed9223731a4a10209d5a898c8799e2bd8bf703263dac0be,Multi-dimensional Evaluation of Empathetic Dialogue Responses,39,39,0,37,37,0,0,0.949,0.028,0.941,35,4,0,0,0.108,0.77,0.0259,0.919,24,9,1,3,0.108,-0.179,-0.0021,-0.022,0.256,0.577,0.028,0.797,16,13,0,10,0.297,0.514,0.0259,0.781,12,14,4,7,0.041,-0.063,-0.0021,-0.016
0423cd213b08f3d0d92931a9c083a0bd85f9c3e25417e7bd8cfe0d7ea656e6ac6911567d60219882dc9203712a9391fea6ecea376b874e4170283660a53298a5,HiGenQA: Exploring Hint Generation Approaches for Open Domain Question Answering,40,40,1,37,37,0,0.075,0.775,0.0379,0.872,25,12,3,0,0.054,0.851,0.0257,0.922,28,7,2,0,-0.021,0.076,-0.0122,0.05,0.325,0.538,0.0379,0.801,16,11,9,4,0.216,0.622,0.0257,0.777,17,12,6,2,-0.109,0.084,-0.0122,-0.024
047cff1d46ee82bb0061f7179a735b2c281fa4aaaf551a3bd46aac55ef3134dc3fcaf7c335ece380a4f42cf444f83a1359af2c54ee14de25a25deac956605ece,Enhancing Learning-Based Binary Code Similarity Detection Model through Adversarial Training with Multiple Function Variants,28,28,1,41,41,1,0.143,0.75,0.0269,0.907,18,6,0,4,0.122,0.78,0.0343,0.892,28,8,3,2,-0.021,0.03,0.0074,-0.015,0.107,0.875,0.0269,0.885,24,1,1,2,0.122,0.817,0.0343,0.876,31,5,2,3,0.015,-0.058,0.0074,-0.009
04857b0be7ff64b3883afcc90418c84505492f0d5bbce8ce51b91f05f49422b2c1e793ae4071bef68089e5f3fae242ea17baf8aee2d27eba18c7fa8612cce839,Inference-Time Language Model Alignment via Integrated Value Guidance,40,40,0,57,57,6,0.025,0.888,0.0339,0.929,32,7,0,1,0.14,0.684,0.0508,0.889,29,20,2,6,0.115,-0.204,0.0169,-0.04,0.1,0.9,0.0339,0.886,36,0,2,2,0.228,0.772,0.0508,0.877,44,0,7,6,0.128,-0.128,0.0169,-0.009
0485899a5e9184b7b889e2ef3a62f35ccd94a847ebc59d4f10069c72d0d8e310b9c7f5825d5d12371ca4081781b12efac2c8532e95ca2cf0c32f1ae93c72f72a,Deciphering Rumors: A Multi-Task Learning Approach with Intent-aware Hierarchical Contrastive Learning,52,52,2,48,48,11,0.058,0.885,0.0436,0.922,43,6,2,1,0.104,0.781,0.0378,0.898,32,11,5,0,0.046,-0.104,-0.0058,-0.024,0.385,0.596,0.0436,0.911,30,2,14,6,0.333,0.635,0.0378,0.883,29,3,11,5,-0.052,0.039,-0.0058,-0.028
0521922b3269c00daae854654bd3b01e51351ed54713a316b96f9eb50ed981ef42798ec573658230551a722523390274e2847582e53b54951b3aebf8167cc581,Are LLMs Aware that Some Questions are not Open-ended?,40,40,7,53,53,2,0.025,0.85,0.0319,0.9,29,10,0,1,0.094,0.802,0.0398,0.914,37,11,5,0,0.069,-0.048,0.0079,0.014,0.05,0.888,0.0319,0.845,33,5,1,1,0.17,0.764,0.0398,0.774,37,7,5,4,0.12,-0.124,0.0079,-0.071
054bda1b4a0635fdc3584cf73299073f9d48190b32a0cda2a30ff8d1a4402554da47335a439261b5583b1fdf4d1db0fcca335542133cba96e0d44771c6eb1f9a,ECCO: Can We Improve Model-Generated Code Efficiency Without Sacrificing Functional Correctness?,35,35,2,29,29,8,0.029,0.914,0.0273,0.93,30,4,1,0,0.034,0.862,0.0224,0.924,22,6,0,1,0.005,-0.052,-0.0049,-0.006,0.343,0.643,0.0273,0.93,22,1,6,6,0.483,0.517,0.0224,0.984,15,0,10,4,0.14,-0.126,-0.0049,0.054
055281ba543cb556b00e125955532f47185ae7f0c7825a3afcf367d094865e5315f396666e6c9ee343d58678f9fa69b8d75124935aa8fcc30abfc1a540a1a016,Dependency Graph Parsing as Sequence Labeling,63,63,0,75,75,0,0.032,0.913,0.0585,0.92,54,7,0,2,0.093,0.787,0.0563,0.902,50,18,4,3,0.061,-0.126,-0.0022,-0.018,0.476,0.476,0.0585,0.792,27,6,15,15,0.587,0.32,0.0563,0.735,17,14,25,19,0.111,-0.156,-0.0022,-0.057
0579894094a90fddcf940a02d601d4f016a0b3a1cf20de88684ab81f822821e7e1b3b0a9c38858480d206e5a5f850c60a9889c1a1c3ab6f3695b7a0bed1d579f,Explaining Mixtures of Sources in News Articles,36,36,4,36,36,0,0.056,0.847,0.0291,0.915,27,7,1,1,0.056,0.819,0.028,0.924,25,9,1,1,0,-0.028,-0.0011,0.009,0.333,0.542,0.0291,0.83,15,9,7,5,0.361,0.556,0.028,0.842,17,6,11,2,0.028,0.014,-0.0011,0.012
05e414432d5ca4262203a4a72af355c24a7717f9c7ea84e657e4a7650913e19568485dec5511e6b9504c9834f8628c7b3a3016516cbccd9861611f21f8b59650,Training-free Deep Concept Injection Enables Language Models for Video Question Answering,34,34,8,47,47,5,0.029,0.868,0.0268,0.901,26,7,1,0,0.106,0.777,0.0369,0.888,31,11,3,2,0.077,-0.091,0.0101,-0.013,0.706,0.221,0.0268,0.704,5,5,15,9,0.511,0.383,0.0369,0.702,13,10,14,10,-0.195,0.162,0.0101,-0.002
05f90f5676ba4ec4d5cdbba2078cacc93cc416063ec91a3f061aff254988cdcbe48c8da1dba3fb40a7a8d2b901638cef4700f728e65487cf51b647fd700bdb52,Mitigating Hallucination in Fictional Character Role-Play,45,45,0,37,37,1,0.022,0.889,0.0341,0.943,36,8,1,0,0.081,0.865,0.0334,0.943,30,4,3,0,0.059,-0.024,-0.0007,0,0.778,0.2,0.0341,0.942,8,2,22,13,0.703,0.243,0.0334,0.912,7,4,23,3,-0.075,0.043,-0.0007,-0.03
05ff12fcfca694555238a7152a120e4d53bd34a835b72e3a9fd26c27c1574ae2f15b77d7d1fe0e936a0559f2867bf31744a62f14ee51946d93bb09f1fee294e4,Temperature-Centric Investigation of Speculative Decoding with Knowledge Distillation,38,38,10,37,37,0,0.026,0.855,0.0309,0.916,28,9,0,1,0,0.865,0.0291,0.915,27,10,0,0,-0.026,0.01,-0.0018,-0.001,0.474,0.461,0.0309,0.877,15,5,11,7,0.486,0.514,0.0291,0.911,19,0,12,6,0.012,0.053,-0.0018,0.034
066c0623e018a40e42a7aa72af545d48a5923f9e43af73711609d978ed5adc8d4bde0a351a8ba2749c38bbe9ae5c4691c9f8fd40c0078f2b56be32f8fdf640a1,Active Learning for Abstractive Text Summarization via LLM-Determined Curriculum and Certainty Gain Maximization,39,39,4,61,61,0,0.077,0.782,0.0343,0.888,25,11,1,2,0.049,0.893,0.0405,0.93,51,7,2,1,-0.028,0.111,0.0062,0.042,0.282,0.692,0.0343,0.937,26,2,9,2,0.18,0.795,0.0405,0.816,47,3,11,0,-0.102,0.103,0.0062,-0.121
06848a92b23d6eef666d86b59e38de24b6be65479774c5143060b6a7ce78f173caf4ec0e9c52442ef3724f10a6b84f7e7380dac2315120ef6b3ad4996a5eb82f,SYNFAC-EDIT: Synthetic Imitation Edit Feedback for Factual Alignment in Clinical Summarization,32,32,6,45,45,2,0.031,0.906,0.0283,0.927,27,4,1,0,0.178,0.733,0.0346,0.888,29,8,2,6,0.147,-0.173,0.0063,-0.039,0.156,0.844,0.0283,0.899,27,0,3,2,0.111,0.878,0.0346,0.913,39,1,1,4,-0.045,0.034,0.0063,0.014
06869d1d030a1ea9dff5e78eafb4aa42cfbce107a152197e7c389223ca78c80c55f7f1df245e8097fcdabdf9695bc0aa466c4600e391c1e5fd225590155fa811,Mixture-of-Skills: Learning to Optimize Data Usage for Fine-Tuning Large Language Models,35,35,0,41,41,0,0.057,0.871,0.0306,0.919,28,5,0,2,0.024,0.866,0.0341,0.913,31,9,0,1,-0.033,-0.005,0.0035,-0.006,0.514,0.371,0.0306,0.844,9,8,12,6,0.537,0.378,0.0341,0.861,12,7,13,9,0.023,0.007,0.0035,0.017
06f093b107a7676d52201600f8bbdd368efd10d163b1bc216b73a3c3c0cc00f45daa5ffa6d8ff10643fd04f4654a6d409ab14030a414f5c19a5e890821a36cef,Can Large Language Models Enhance Predictions of Disease Progression? Investigating Through Disease Network Link Prediction,36,36,1,49,49,0,0.111,0.764,0.0321,0.884,23,9,3,1,0.102,0.837,0.0389,0.911,38,6,3,2,-0.009,0.073,0.0068,0.027,0.222,0.764,0.0321,0.938,27,1,1,7,0.184,0.796,0.0389,0.935,38,2,0,9,-0.038,0.032,0.0068,-0.003
06f7339dab6f4b12b3f9bd23dec3f887fecb51ecf41a32740fdb88856ed7a15e8f13d96ef37ab9e2731ef6caf0d2ff7e5eba9ab5c31cc1d5686b3abece7e1421,"Building a Multi-Platform, BERT Classifier for Detecting Connective Language",41,41,2,56,56,5,0.146,0.732,0.0368,0.897,25,10,5,1,0.018,0.857,0.0455,0.912,41,14,0,1,-0.128,0.125,0.0087,0.015,0.732,0.244,0.0368,0.72,9,2,18,12,0.464,0.473,0.0455,0.767,23,7,17,9,-0.268,0.229,0.0087,0.047
07245b3e55af2efd97237ee9708aaedfe48917fb9e9a8726ce1f0bd8faff59659277c0b6f5ee9a4f55ee3c8642a18244b87535239311fa557844a72277f42d47,A ∧ B ⇔ B ∧ A: Evaluating and Improving Logical Reasoning Ability of Large Language Models,43,43,0,25,25,0,0.047,0.814,0.0314,0.896,29,12,2,0,0,0.84,0.0193,0.922,17,8,0,0,-0.047,0.026,-0.0121,0.026,0.419,0.453,0.0314,0.809,14,11,6,12,0.28,0.56,0.0193,0.742,10,8,3,4,-0.139,0.107,-0.0121,-0.067
075eaa473dbd96ebe3e517037a0e6d29cc2c9effb9adbfe13d5626d92ebc948f24f4468e655d764ac3e313954bf920047cc94233638d4c05210fc84d92ba24f1,Strength Lies in Differences! Towards Effective Non-collaborative Dialogues via Tailored Strategy Planning,29,29,0,46,46,1,0.069,0.879,0.0244,0.924,24,3,1,1,0.087,0.804,0.0396,0.917,32,10,1,3,0.018,-0.075,0.0152,-0.007,0.276,0.707,0.0244,0.928,20,1,1,7,0.283,0.707,0.0396,0.937,32,1,2,11,0.007,0,0.0152,0.009
077b2bb0c8b7784d9769d4a4bbe2406f6d387bb9f303681e44efb9c8e4e81e519da08117632eb08e723bb3ef59fb68c1d01b45e9378d39095a5ffe6c9663f5d9,Can LLMs replace Neil deGrasse Tyson? Evaluating the Reliability of LLMs as Science Communicators,39,39,11,36,36,1,0,0.91,0.0293,0.919,32,7,0,0,0.028,0.847,0.0252,0.907,26,9,1,0,0.028,-0.063,-0.0041,-0.012,0.308,0.603,0.0293,0.86,20,7,2,10,0.25,0.653,0.0252,0.838,20,7,2,7,-0.058,0.05,-0.0041,-0.022
0785f49a6ec07566ee84dd056b3599157c762aa76bb9586b7f70030de1397882f0c3db15ce0ea0936f265363046d185056e23e5e86d15c7071523724f36da8d5,Knowledge Planning in Large Language Models for Domain-Aligned Counseling Summarization,37,37,6,40,40,3,0,0.959,0.0278,0.941,34,3,0,0,0.075,0.825,0.031,0.921,29,8,3,0,0.075,-0.134,0.0032,-0.02,0.243,0.622,0.0278,0.853,18,10,8,1,0.425,0.488,0.031,0.917,16,7,17,0,0.182,-0.134,0.0032,0.064
0786dfd11839f4b4c37caa054b739ae66a6b50f5a5e788643e97af56b8178b3984f862266a63303e32a82192cad03f32778f6df8aeb6077ad76d12633af747e5,Language Models Still Struggle to Zero-shot Reason about Time Series,35,35,5,41,41,6,0.057,0.814,0.0251,0.891,24,9,2,0,0.098,0.768,0.0323,0.893,26,11,3,1,0.041,-0.046,0.0072,0.002,0.114,0.771,0.0251,0.801,23,8,2,2,0.171,0.756,0.0323,0.827,28,6,1,6,0.057,-0.015,0.0072,0.026
07a262bb759b20c2c01beab46db93d128c615ab595c367feb05555172c4d351b7198216086cf00584f369334c00dc7944334ed7bb7deaf68ce8352dd3a8710f4,Making Reasoning Matter: Measuring and Improving Faithfulness of Chain-of-Thought Reasoning,46,46,0,35,35,0,0.087,0.837,0.0333,0.925,35,7,3,1,0.029,0.929,0.0246,0.941,31,3,1,0,-0.058,0.092,-0.0087,0.016,0.326,0.674,0.0333,0.94,31,0,14,1,0.314,0.643,0.0246,0.921,21,3,11,0,-0.012,-0.031,-0.0087,-0.019
07f5ffd24aaa1fc1d5a86219c2f34f3e5e276d3894dfde5a1e0fc24e1a1ce60b36def6e4414a0721680ac4686da16b1f56afb710450a9c79306be4600ed2de2a,Knowledge-Aware Reasoning over Multimodal Semi-structured Tables,32,32,0,32,32,4,0,0.906,0.028,0.919,26,6,0,0,0.031,0.891,0.0239,0.922,26,5,1,0,0.031,-0.015,-0.0041,0.003,0.156,0.828,0.028,0.91,26,1,4,1,0.094,0.859,0.0239,0.904,26,3,1,2,-0.062,0.031,-0.0041,-0.006
081d55fc178a96602af91161e9c0dc49e4431be00a6a0f85d5428b3c142716783aa01867fc18236345a2f0930a16939d6b28d01a9c0e6e2a8522fa4f2f78cf4e,On the Causal Nature of Sentiment Analysis,42,42,0,54,54,0,0.095,0.81,0.0336,0.921,30,8,4,0,0.093,0.861,0.0406,0.914,44,5,3,2,-0.002,0.051,0.007,-0.007,0.024,0.929,0.0336,0.92,37,4,1,0,0.037,0.926,0.0406,0.93,48,4,2,0,0.013,-0.003,0.007,0.01
088a0b7c0575ed116d6f707f9bb307b74f425892adc74bfe79216098a590ce2c5d749eaf77a6cad158f68a5857ac91dcef732e862a3e14bbb32f800a64f6ef14,SURf: Teaching Large Vision-Language Models to Selectively Utilize Retrieved Information,36,36,6,35,35,6,0.111,0.833,0.0297,0.919,28,4,4,0,0.086,0.814,0.0274,0.903,25,7,2,1,-0.025,-0.019,-0.0023,-0.016,0.5,0.486,0.0297,0.9,17,1,13,5,0.6,0.371,0.0274,0.929,12,2,13,8,0.1,-0.115,-0.0023,0.029
08b21811e45b9a79d57e30b161766d64216308f3a38357423b41d4373da8df5efcca2b6dee65850338caac19c5e6a44fccf95241a13966fa60522e71def0c3b2,PANDA: Persona Attributes Navigation for Detecting and Alleviating Overuse Problem in Large Language Models,47,47,5,40,40,5,0.085,0.745,0.0409,0.888,27,16,4,0,0.175,0.763,0.0338,0.913,28,5,6,1,0.09,0.018,-0.0071,0.025,0.511,0.457,0.0409,0.884,20,3,11,13,0.475,0.488,0.0338,0.886,18,3,6,13,-0.036,0.031,-0.0071,0.002
